enormously,tremendously,tremendously,correct
provisions,stipulations,stipulations,correct
haphazardly,randomly,randomly,correct
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,ceremonies,wrong
solitary,alone,restless,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,generosity,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,demonstrated,correct
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,advise,wrong
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,sea,wrong
make,earn,borrow,wrong
often,frequently,frequently,correct
easygoing,relaxed,relaxed,correct
debate,argument,argument,correct
narrow,thin,clear,wrong
arranged,planned,explained,wrong
infinite,limitless,limitless,correct
showy,striking,prickly,wrong
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,circulate,correct
discrepancies,differences,differences,correct
prolific,productive,promising,wrong
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,color,correct
hind,rear,muscular,wrong
highlight,accentuate,accentuate,correct
hastily,hurriedly,hurriedly,correct
temperate,mild,cold,wrong
grin,smile,smile,correct
verbally,orally,overtly,wrong
physician,doctor,pharmacist,wrong
essentially,basically,basically,correct
keen,sharp,sharp,correct
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,wrong
unlikely,improbable,improbable,correct
halfheartedly,apathetically,apathetically,correct
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,acclaimed,correct
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,potential,correct
generally,broadly,broadly,correct
sustained,prolonged,prolonged,correct
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,disperse,correct
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,examined,wrong
feasible,possible,possible,correct
expeditiously,rapidly,repeatedly,wrong
percentage,proportion,proportion,correct
terminated,ended,postponed,wrong
uniform,alike,hard,wrong
figure,solve,solve,correct
sufficient,enough,enough,correct
fashion,manner,craze,wrong
marketed,sold,sold,correct
bigger,larger,better,wrong
roots,origins,origins,correct
normally,ordinarily,ordinarily,correct
